hd,Name,Object,Info,Price,img,Skymap,wikipedia
-33,Umbriel_(moon),Satellite,,200000,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Umbriel_usgsx2.jpg/220px-Umbriel_usgsx2.jpg,no,
-34,Titania_(moon),Satellite,,200000,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/PIA00039_Titania.jpg/220px-PIA00039_Titania.jpg,no,
-35,Oberon_(moon),Satellite,,200000,https://upload.wikimedia.org/wikipedia/commons/0/09/Voyager_2_picture_of_Oberon.jpg,no,
-36,Triton_(moon),Satellite,,200000,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Triton_moon_mosaic_Voyager_2_%28large%29.jpg/300px-Triton_moon_mosaic_Voyager_2_%28large%29.jpg,no,
-37,Charon_(moon),Satellite,,200000,https://upload.wikimedia.org/wikipedia/commons/2/2b/Charon_in_Color_%28HQ%29.jpg,no,
16160,16160,star,,100,,yes,
20794,20794,star,,100,,yes,
4628,4628,star,,100,,yes,
18622,Acamar,star,,50000,,yes,
10144,Achernar,star,,50000,,yes,
108248,Acrux,star,,50000,,yes,
52089,Adhara,star,,50000,,yes,
178524,Albaldah,star,,50000,,yes,
183912,Albireo,star,,50000,,yes,
116842,Alcor,star,,50000,,yes,
23630,Alcyone,star,,50000,,yes,
29139,Aldebaran,star,,50000,,yes,
203280,Alderamin,star,,50000,,yes,
886,Algenib,star,,50000,,yes,
89484,Algieba,star,,50000,,yes,
19356,Algol,star,,50000,,yes,
108767,Algorab,star,,50000,,yes,
47105,Alhena,star,,50000,,yes,
112185,Alioth,star,,50000,,yes,
120315,Alkaid,star,,50000,,yes,
12533,Almaak,star,,50000,,yes,
209952,Alnair,star,,50000,,yes,
35497,Alnath,star,,50000,,yes,
37128,Alnilam,star,,50000,,yes,
37742,Alnitak,star,,50000,,yes,
81797,Alphard,star,,50000,,yes,
139006,Alphekka,star,,50000,,yes,
358,Alpheratz,star,,50000,,yes,
188512,Alshain,star,,50000,,yes,
187642,Altair,star,,50000,,yes,
58350,Aludra,star,,50000,,yes,
2261,Ankaa,star,,50000,,yes,
148478,Antares,star,,50000,,yes,
124897,Arcturus,star,,50000,,yes,
36673,Arneb,star,,50000,,yes,
150798,Atria,star,,50000,,yes,
71129,Avior,star,,50000,,yes,
215441,Babcock's star,star,,50000,,yes,
111123,Becrux,star,,50000,,yes,
35468,Bellatrix,star,,50000,,yes,
39801,Betelgeuse,star,,50000,,yes,
184738,Campbell's Hydrogen Star,star,,50000,,yes,
45348,Canopus,star,,200000,,yes,
34029,Capella,star,,100000,,yes,
432,Caph,star,,50000,,yes,
60179,Castor,star,,50000,,yes,
161096,Cebalrai,star,,50000,,yes,
5394,Cih,star,,50000,,yes,
112413,Cor Caroli,star,,50000,,yes,
33111,Cursa,star,,50000,,yes,
226868,Cygnus X-1,star,,50000,,yes,
197345,Deneb,star,,50000,,yes,
102647,Denebola,star,,50000,,yes,
4128,Diphda,star,,50000,,yes,
143275,Dschubba,star,,50000,,yes,
95689,Dubhe,star,,50000,,yes,
206778,Enif,star,,50000,,yes,
164058,Etamin,star,,50000,,yes,
216956,Fomalhaut,star,,50000,,yes,
108903,Gacrux,star,,50000,,yes,
197989,Gienah,star,,50000,,yes,
106625,Gienah Ghurab,star,,50000,,yes,
58715,Gomeisa,star,,50000,,yes,
144217,Graffias,star,,50000,,yes,
103095,Groombridge 1830,star,,50000,,yes,
122451,Hadar,star,,50000,,yes,
12929,Hamal,star,,50000,,yes,
31398,Hassaleh,star,,50000,,yes,
37043,Hatsya,star,,50000,,yes,
129988,Izar,star,,50000,,yes,
33793,Kapteyn's Star,star,,50000,,yes,
169022,Kaus Australis,star,,50000,,yes,
169916,Kaus Borealis,star,,50000,,yes,
168454,Kaus Meridionalis,star,,50000,,yes,
131873,Kochab,star,,50000,,yes,
148856,Kornephoros,star,,50000,,yes,
109379,Kraz,star,,50000,,yes,
239960,Kruger 60,star,,50000,,yes,
202560,Lacaille 8760,star,,50000,,yes,
217987,Lacaille 9352,star,,50000,,yes,
95735,Lalande 21185,star,,50000,,yes,
218045,Markab,star,,50000,,yes,
215182,Matar,star,,50000,,yes,
106591,Megrez,star,,50000,,yes,
40183,Menkalinan,star,,50000,,yes,
18884,Menkar,star,,50000,,yes,
123139,Menkent,star,,50000,,yes,
95418,Merak,star,,50000,,yes,
80007,Miaplacidus,star,,50000,,yes,
36486,Mintaka,star,,50000,,yes,
14386,Mira,star,,50000,,yes,
6860,Mirach,star,,50000,,yes,
20902,Mirphak,star,,50000,,yes,
44743,Mirzam,star,,50000,,yes,
116656,Mizar,star,,50000,,yes,
121370,Mufrid,star,,50000,,yes,
66811,Naos,star,,50000,,yes,
165135,Nash,star,,50000,,yes,
36079,Nihal,star,,50000,,yes,
175191,Nunki,star,,50000,,yes,
10361,p Eridani,star,,50000,,yes,
193924,Peacock,star,,50000,,yes,
103287,Phad,star,,50000,,yes,
37795,Phakt,star,,50000,,yes,
8890,Polaris,star,,50000,,yes,
62509,Pollux,star,,50000,,yes,
110379,Porrima,star,,50000,,yes,
61421,Procyon,star,,50000,,yes,
84441,Ras Elased Australis,star,,50000,,yes,
156014,Rasalgethi,star,,50000,,yes,
159561,Rasalhague,star,,50000,,yes,
159181,Rastaban,star,,50000,,yes,
44179,Red Rectangle,star,,50000,,yes,
87901,Regulus,star,,100000,,yes,
34085,Rigel,star,,5000,,yes,
128620,Rigil_Kentaurus,star,,100000,,yes,
8538,Ruchbah,star,,5000,,yes,
209750,Sadalmelik,star,,5000,,yes,
204867,Sadalsuud,star,,5000,,yes,
194093,Sadr,star,,5000,,yes,
38771,Saiph,star,,5000,,yes,
159532,Sargas,star,,5000,,yes,
217906,Scheat,star,,5000,,yes,
158926,Shaula,star,,5000,,yes,
3712,Shedir,star,,5000,,yes,
174638,Sheliak,star,,5000,,yes,
11636,Sheratan,star,,5000,,yes,
48915,Sirius,star,,100000,,yes,
116658,Spica,star,,5000,,yes,
186791,Tarazed,star,,5000,,yes,
123299,Thuban,star,,5000,,yes,
80404,Tureis,star,,5000,,yes,
140573,Unukalhai,star,,5000,,yes,
172167,Vega,star,,5000,,yes,
113226,Vindemiatrix,star,,5000,,yes,
54605,Wezen,star,,5000,,yes,
25025,Zaurak,star,,5000,,yes,
97603,Zosma,star,,5000,,yes,
130841,Zubenelgenubi,star,,5000,,yes,
135742,Zubeneschemali,star,,5000,,yes,
1,1,star,,100,,yes,
3,3,star,,100,,yes,
4,4,star,,100,,yes,
5,5,star,,100,,yes,
6,6,star,,100,,yes,
10,10,star,,100,,yes,
12,12,star,,100,,yes,
14,14,star,,100,,yes,
15,15,star,,100,,yes,
16,16,star,,100,,yes,
17,17,star,,100,,yes,
18,18,star,,100,,yes,
20,20,star,,100,,yes,
21,21,star,,100,,yes,
22,22,star,,100,,yes,
23,23,star,,100,,yes,
24,24,star,,100,,yes,
26,26,star,,100,,yes,
27,27,star,,100,,yes,
28,28,star,,100,,yes,
31,31,star,,100,,yes,
32,32,star,,100,,yes,
34,34,star,,100,,yes,
38,38,star,,100,,yes,
39,39,star,,100,,yes,
40,40,star,,100,,yes,
42,42,star,,100,,yes,
43,43,star,,100,,yes,
46,46,star,,100,,yes,
48,48,star,,100,,yes,
52,52,star,,100,,yes,
53,53,star,,100,,yes,
54,54,star,,100,,yes,
55,55,star,,100,,yes,
56,56,star,,100,,yes,
58,58,star,,100,,yes,
62,62,star,,100,,yes,
63,63,star,,100,,yes,
65,65,star,,100,,yes,
66,66,star,,100,,yes,
67,67,star,,100,,yes,
69,69,star,,100,,yes,
70,70,star,,100,,yes,
71,71,star,,100,,yes,
72,72,star,,100,,yes,
73,73,star,,100,,yes,
76,76,star,,100,,yes,
78,78,star,,100,,yes,
79,79,star,,100,,yes,
80,80,star,,100,,yes,
83,83,star,,100,,yes,
85,85,star,,100,,yes,
87,87,star,,100,,yes,
88,88,star,,100,,yes,
90,90,star,,100,,yes,
91,91,star,,100,,yes,
94,94,star,,100,,yes,
97,97,star,,100,,yes,
98,98,star,,100,,yes,
99,99,star,,100,,yes,
100,100,star,,100,,yes,
101,101,star,,100,,yes,
105,105,star,,100,,yes,
106,106,star,,100,,yes,
108,108,star,,100,,yes,
109,109,star,,100,,yes,
110,110,star,,100,,yes,
111,111,star,,100,,yes,
112,112,star,,100,,yes,
113,113,star,,100,,yes,
114,114,star,,100,,yes,
118,118,star,,100,,yes,
119,119,star,,100,,yes,
120,120,star,,100,,yes,
121,121,star,,100,,yes,
122,122,star,,100,,yes,
123,123,star,,100,,yes,
126,126,star,,100,,yes,
127,127,star,,100,,yes,
129,129,star,,100,,yes,
135,135,star,,100,,yes,
137,137,star,,100,,yes,
139,139,star,,100,,yes,
140,140,star,,100,,yes,
141,141,star,,100,,yes,
142,142,star,,100,,yes,
144,144,star,,100,,yes,
145,145,star,,100,,yes,
146,146,star,,100,,yes,
148,148,star,,100,,yes,
151,151,star,,100,,yes,
152,152,star,,100,,yes,
153,153,star,,100,,yes,
155,155,star,,100,,yes,
156,156,star,,100,,yes,
160,160,star,,100,,yes,
161,161,star,,100,,yes,
162,162,star,,100,,yes,
164,164,star,,100,,yes,
165,165,star,,100,,yes,
166,166,star,,100,,yes,
167,167,star,,100,,yes,
171,171,star,,100,,yes,
172,172,star,,100,,yes,
174,174,star,,100,,yes,
175,175,star,,100,,yes,
181,181,star,,100,,yes,
183,183,star,,100,,yes,
186,186,star,,100,,yes,
187,187,star,,100,,yes,
189,189,star,,100,,yes,
190,190,star,,100,,yes,
195,195,star,,100,,yes,
196,196,star,,100,,yes,
199,199,star,,100,,yes,
200,200,star,,100,,yes,
202,202,star,,100,,yes,
203,203,star,,100,,yes,
204,204,star,,100,,yes,
206,206,star,,100,,yes,
208,208,star,,100,,yes,
212,212,star,,100,,yes,
213,213,star,,100,,yes,
216,216,star,,100,,yes,
217,217,star,,100,,yes,
218,218,star,,100,,yes,
219,219,star,,100,,yes,
222,222,star,,100,,yes,
223,223,star,,100,,yes,
225,225,star,,100,,yes,
227,227,star,,100,,yes,
228,228,star,,100,,yes,
230,230,star,,100,,yes,
231,231,star,,100,,yes,
233,233,star,,100,,yes,
235,235,star,,100,,yes,
236,236,star,,100,,yes,
238,238,star,,100,,yes,
241,241,star,,100,,yes,
243,243,star,,100,,yes,
245,245,star,,100,,yes,
249,249,star,,100,,yes,
250,250,star,,100,,yes,
251,251,star,,100,,yes,
253,253,star,,100,,yes,
256,256,star,,100,,yes,
257,257,star,,100,,yes,
259,259,star,,100,,yes,
260,260,star,,100,,yes,
264,264,star,,100,,yes,
266,266,star,,100,,yes,
267,267,star,,100,,yes,
268,268,star,,100,,yes,
270,270,star,,100,,yes,
273,273,star,,100,,yes,
276,276,star,,100,,yes,
277,277,star,,100,,yes,
278,278,star,,100,,yes,
279,279,star,,100,,yes,
281,281,star,,100,,yes,
282,282,star,,100,,yes,
283,283,star,,100,,yes,
285,285,star,,100,,yes,
290,290,star,,100,,yes,
291,291,star,,100,,yes,
292,292,star,,100,,yes,
294,294,star,,100,,yes,
299,299,star,,100,,yes,
305,305,star,,100,,yes,
307,307,star,,100,,yes,
309,309,star,,100,,yes,
310,310,star,,100,,yes,
312,312,star,,100,,yes,
313,313,star,,100,,yes,
315,315,star,,100,,yes,
316,316,star,,100,,yes,
317,317,star,,100,,yes,
318,318,star,,100,,yes,
319,319,star,,100,,yes,
321,321,star,,100,,yes,
322,322,star,,100,,yes,
323,323,star,,100,,yes,
324,324,star,,100,,yes,
326,326,star,,100,,yes,
330,330,star,,100,,yes,
332,332,star,,100,,yes,
333,333,star,,100,,yes,
334,334,star,,100,,yes,
336,336,star,,100,,yes,
337,337,star,,100,,yes,
340,340,star,,100,,yes,
341,341,star,,100,,yes,
342,342,star,,100,,yes,
343,343,star,,100,,yes,
344,344,star,,100,,yes,
345,345,star,,100,,yes,
346,346,star,,100,,yes,
349,349,star,,100,,yes,
350,350,star,,100,,yes,
352,352,star,,100,,yes,
356,356,star,,100,,yes,
357,357,star,,100,,yes,
359,359,star,,100,,yes,
360,360,star,,100,,yes,
361,361,star,,100,,yes,
364,364,star,,100,,yes,
365,365,star,,100,,yes,
367,367,star,,100,,yes,
368,368,star,,100,,yes,
369,369,star,,100,,yes,
370,370,star,,100,,yes,
371,371,star,,100,,yes,
372,372,star,,100,,yes,
373,373,star,,100,,yes,
375,375,star,,100,,yes,
377,377,star,,100,,yes,
380,380,star,,100,,yes,
383,383,star,,100,,yes,
384,384,star,,100,,yes,
385,385,star,,100,,yes,
387,387,star,,100,,yes,
388,388,star,,100,,yes,
391,391,star,,100,,yes,
392,392,star,,100,,yes,
394,394,star,,100,,yes,
395,395,star,,100,,yes,
396,396,star,,100,,yes,
397,397,star,,100,,yes,
398,398,star,,100,,yes,
400,400,star,,100,,yes,
402,402,star,,100,,yes,
403,403,star,,100,,yes,
404,404,star,,100,,yes,
405,405,star,,100,,yes,
406,406,star,,100,,yes,
413,413,star,,100,,yes,
414,414,star,,100,,yes,
417,417,star,,100,,yes,
418,418,star,,100,,yes,
422,422,star,,100,,yes,
425,425,star,,100,,yes,
427,427,star,,100,,yes,
428,428,star,,100,,yes,
429,429,star,,100,,yes,
431,431,star,,100,,yes,
433,433,star,,100,,yes,
434,434,star,,100,,yes,
435,435,star,,100,,yes,
437,437,star,,100,,yes,
438,438,star,,100,,yes,
439,439,star,,100,,yes,
441,441,star,,100,,yes,
442,442,star,,100,,yes,
443,443,star,,100,,yes,
445,445,star,,100,,yes,
446,446,star,,100,,yes,
447,447,star,,100,,yes,
448,448,star,,100,,yes,
449,449,star,,100,,yes,
452,452,star,,100,,yes,
454,454,star,,100,,yes,
457,457,star,,100,,yes,
458,458,star,,100,,yes,
460,460,star,,100,,yes,
461,461,star,,100,,yes,
464,464,star,,100,,yes,
466,466,star,,100,,yes,
469,469,star,,100,,yes,
470,470,star,,100,,yes,
471,471,star,,100,,yes,
473,473,star,,100,,yes,
475,475,star,,100,,yes,
477,477,star,,100,,yes,
479,479,star,,100,,yes,
480,480,star,,100,,yes,
481,481,star,,100,,yes,
482,482,star,,100,,yes,
483,483,star,,100,,yes,
486,486,star,,100,,yes,
487,487,star,,100,,yes,
489,489,star,,100,,yes,
491,491,star,,100,,yes,
492,492,star,,100,,yes,
493,493,star,,100,,yes,
494,494,star,,100,,yes,
495,495,star,,100,,yes,
496,496,star,,100,,yes,
497,497,star,,100,,yes,
499,499,star,,100,,yes,
502,502,star,,100,,yes,
505,505,star,,100,,yes,
511,511,star,,100,,yes,
512,512,star,,100,,yes,
513,513,star,,100,,yes,
516,516,star,,100,,yes,
517,517,star,,100,,yes,
518,518,star,,100,,yes,
